"suite","config","n","min","q1","median","q3","max","whisker_lo","whisker_hi","geomean"
"SPECint","LVP loads-only",115,0.970135483203376,0.997462414886627,1.00318172595302,1.01352410822147,1.13180462464975,0.975743229192899,1.03734025675226,1.00974653160098
"SPECint","LVP all-insts",115,0.869821127917166,0.992872072509038,0.999877122175481,1.00711696634132,1.25979600497196,0.971851739501993,1.02750150884465,1.00498661303624
"SPECfp","LVP loads-only",75,0.973758431827588,0.99831608855844,1.00163944742701,1.01269430600147,1.13042152851539,0.980160253550617,1.02488568307451,1.00862725906845
"SPECfp","LVP all-insts",75,0.962552903522834,0.994405530012415,1.00139090819106,1.00860289658509,1.11953030304583,0.975076105924162,1.02281946983296,1.00585446655438
"All","LVP loads-only",190,0.970135483203376,0.997776380085403,1.00253673992446,1.0132442078928,1.13180462464975,0.975082696828218,1.03485514779872,1.00930456519679
"All","LVP all-insts",190,0.869821127917166,0.992814332415704,1.00026519256045,1.00752461757343,1.25979600497196,0.971851739501993,1.02750150884465,1.00532909730765
