"bench","suite","ea_vs_va","cg_vs_va","cov_commit_ops_confgate"
"709.cactus_r","SPECfp",0.99920121097754,1.00223136500944,0.0529978954969533
"722.palm_r","SPECfp",0.996762426769734,0.992800788693101,0.248497501310519
"731.astcenc_r","SPECfp",0.997475012672459,0.997885539554397,0.0237939855729803
"736.ocio_r","SPECfp",0.979071911740021,0.998376989183022,0.175252556750448
"737.gmsh_r","SPECfp",0.999646403893041,1.00035229750864,0.210792229070832
"748.flightdm_r","SPECfp",1.00130180451395,1.00130180451395,0.210051386144758
"749.fotonik3d_r","SPECfp",0.998408106428813,1.00626257291823,0.0519124500667545
"765.roms_r","SPECfp",0.999032032037193,1.00002423309318,0.0609317445959473
"766.femflow_r","SPECfp",0.995374911944618,0.997638974293659,0.0764324331935818
"767.nest_r","SPECfp",0.995055674928976,0.993123146050321,0.324923002285935
"772.marian_r","SPECfp",1.0383634623369,0.951029520198821,0.0617851148533061
"782.lbm_r","SPECfp",0.998204598048188,1.00284421453926,0.0584501100874068
"706.stockfish_r","SPECint",0.627368772308835,0.945777539888278,0.22582513857982
"707.ntest_r","SPECint",1.00094597617389,1.00087391057688,0.134511353199794
"708.sqlite_r","SPECint",0.987706414099437,0.996949522851929,0.391983976773914
"710.omnetpp_r","SPECint",0.989478611496169,1.00008172111235,0.316470440033517
"714.cpython_r","SPECint",0.979921950616576,0.994070876185258,0.443079270617429
"721.gcc_r","SPECint",0.998118623215817,1.00786266897089,0.117945416855352
"723.llvm_r","SPECint",0.994444503679109,0.997402834585187,0.102491469100165
"727.cppcheck_r","SPECint",0.993157691974266,0.997836694804694,0.324572601155505
"729.abc_r","SPECint",0.98839967117639,0.991607991111147,0.150713987281923
"734.vpr_r","SPECint",0.988321396626618,0.970374981010434,0.242400650502329
"735.gem5_r","SPECint",0.994220375101669,0.993702939832958,0.15716220789653
"750.sealcrypto_r","SPECint",0.866096564543189,1.00731276161752,0.205877765453247
"753.ns3_r","SPECint",0.987325631080819,0.998264353135278,0.117814880415862
"777.zstd_r","SPECint",0.989610572148546,0.99500677680747,0.169758659038191
"ALL(26)","All",0.972610079115429,0.993771248329917,0.1790933933205
