"suite","config","n","min","q1","median","q3","max","whisker_lo","whisker_hi","mean"
"SPECint","LVP loads-only",115,0.00807175478237558,0.311578923494064,0.41403664870495,0.598061198348111,0.908827362553982,0.00807175478237558,0.908827362553982,0.421659553711389
"SPECint","LVP all-insts",115,0.00633552386973104,0.18978015964093,0.307918604991725,0.458058086167628,0.84138923565812,0.00633552386973104,0.84138923565812,0.334888649966187
"SPECint","VTAGE loads-only",115,0.00345910219116902,0.318620728608293,0.470024432370133,0.738952733186331,0.978410341563029,0.00345910219116902,0.978410341563029,0.502179070380952
"SPECint","VTAGE all-insts",115,0.00293969634158835,0.183905222125902,0.329612111225466,0.686707526274061,0.975405993106435,0.00293969634158835,0.975405993106435,0.423065790593941
"SPECfp","LVP loads-only",75,0.0260640642467158,0.253038271081666,0.579662466909852,0.791403536784403,0.983906716635694,0.0260640642467158,0.983906716635694,0.558249700876519
"SPECfp","LVP all-insts",75,0.000938047658595955,0.14998835367397,0.292087763543622,0.499109852856667,0.92982514955085,0.000938047658595955,0.92982514955085,0.338440667727423
"SPECfp","VTAGE loads-only",75,0.00764876854826373,0.260713950461249,0.697733977154054,0.888074316974264,0.998988965179971,0.00764876854826373,0.998988965179971,0.582401226841875
"SPECfp","VTAGE all-insts",75,9.84499368985753e-06,0.166675051721168,0.356027133655278,0.453986838765751,0.870688407645175,9.84499368985753e-06,0.870688407645175,0.372565796016552
"All","LVP loads-only",190,0.00807175478237558,0.292492261658069,0.508372230749832,0.638316532180565,0.983906716635694,0.00807175478237558,0.983906716635694,0.475576717066046
"All","LVP all-insts",190,0.000938047658595955,0.176024221796072,0.298585530496477,0.465277414047031,0.92982514955085,0.000938047658595955,0.84138923565812,0.336290762240359
"All","VTAGE loads-only",190,0.00345910219116902,0.317511563119568,0.525360557337987,0.789823238092431,0.998988965179971,0.00345910219116902,0.998988965179971,0.533845711089211
"All","VTAGE all-insts",190,9.84499368985753e-06,0.177074338113213,0.345600107689713,0.635732460777921,0.975405993106435,9.84499368985753e-06,0.975405993106435,0.40313158220813
