"suite","config","n","min","q1","median","q3","max","whisker_lo","whisker_hi","geomean"
"SPECint","LVP loads-only",115,0.970135483203376,0.997462414886627,1.00318172595302,1.01352410822147,1.13180462464975,0.975743229192899,1.03734025675226,1.00974653160098
"SPECint","LVP all-insts",115,0.869821127917166,0.992872072509038,0.999877122175481,1.00711696634132,1.25979600497196,0.971851739501993,1.02750150884465,1.00498661303624
"SPECint","VTAGE loads-only",115,0.96741713258029,1.0010666317944,1.00824587943221,1.02573418545999,1.23622031030268,0.96741713258029,1.06200575135674,1.01861646647758
"SPECint","VTAGE all-insts",115,0.904338723867761,1.00226384215991,1.00861354065436,1.02012045268135,1.24583051208785,0.990714490329144,1.04346145672847,1.0182735329722
"SPECfp","LVP loads-only",75,0.973758431827588,0.99831608855844,1.00163944742701,1.01269430600147,1.13042152851539,0.980160253550617,1.02488568307451,1.00862725906845
"SPECfp","LVP all-insts",75,0.962552903522834,0.994405530012415,1.00139090819106,1.00860289658509,1.11953030304583,0.975076105924162,1.02281946983296,1.00585446655438
"SPECfp","VTAGE loads-only",75,0.977609686262216,0.999324507699599,1.00280701687994,1.02985848508101,1.12460672397405,0.977609686262216,1.0581677436257,1.02055125983364
"SPECfp","VTAGE all-insts",75,0.986527659088064,0.998662164046517,1.00351636380143,1.02675721505965,1.12459163573985,0.986527659088064,1.06660165580178,1.01534711558352
"All","LVP loads-only",190,0.970135483203376,0.997776380085403,1.00253673992446,1.0132442078928,1.13180462464975,0.975082696828218,1.03485514779872,1.00930456519679
"All","LVP all-insts",190,0.869821127917166,0.992814332415704,1.00026519256045,1.00752461757343,1.25979600497196,0.971851739501993,1.02750150884465,1.00532909730765
"All","VTAGE loads-only",190,0.96741713258029,1.00000416413349,1.00603609588913,1.02678275473988,1.23622031030268,0.96741713258029,1.0658438094189,1.01937976212668
"All","VTAGE all-insts",190,0.904338723867761,1.00030205788513,1.00660769778802,1.02396317275052,1.24583051208785,0.986527659088064,1.05702840809571,1.01711736198046
