"suite","config","n","min","q1","median","q3","max","whisker_lo","whisker_hi","mean"
"SPECint","LVP loads-only",115,0.00807175478237558,0.311578923494064,0.41403664870495,0.598061198348111,0.908827362553982,0.00807175478237558,0.908827362553982,0.421659553711389
"SPECint","LVP all-insts",115,0.00633552386973104,0.18978015964093,0.307918604991725,0.458058086167628,0.84138923565812,0.00633552386973104,0.84138923565812,0.334888649966187
"SPECfp","LVP loads-only",75,0.0260640642467158,0.253038271081666,0.579662466909852,0.791403536784403,0.983906716635694,0.0260640642467158,0.983906716635694,0.558249700876519
"SPECfp","LVP all-insts",75,0.000938047658595955,0.14998835367397,0.292087763543622,0.499109852856667,0.92982514955085,0.000938047658595955,0.92982514955085,0.338440667727423
"All","LVP loads-only",190,0.00807175478237558,0.292492261658069,0.508372230749832,0.638316532180565,0.983906716635694,0.00807175478237558,0.983906716635694,0.475576717066046
"All","LVP all-insts",190,0.000938047658595955,0.176024221796072,0.298585530496477,0.465277414047031,0.92982514955085,0.000938047658595955,0.84138923565812,0.336290762240359
