"CkptId","speedup_th14","speedup_gate16"
"734.vpr_r.0.2",0.960488,1.004729
"714.cpython_r.2.4",0.977997,0.978468
"707.ntest_r.0.3",0.978347,0.986599
"727.cppcheck_r.1.0",0.978556,0.984271
"727.cppcheck_r.0.0",0.98253,0.980335
"727.cppcheck_r.2.1",0.984463,0.987218
"729.abc_r.1.3",0.986786,0.994332
"708.sqlite_r.0.1",0.988765,0.998089
"714.cpython_r.2.1",0.989903,0.988306
"734.vpr_r.1.4",0.989997,0.990754
"708.sqlite_r.2.1",1.277637,1.141991
